page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect
16,Baião de dois,138.0,26.2,2.1,2.9,0.3,False
16,Bala de caramelo chocolate -Nestlé®,400.0,78.0,,4.0,,False
16,Bala de caramelo e coco -Nestlé®,400.0,78.0,,4.0,,False
16,Bala de caramelo leite -Nestlé®,400.0,78.0,,4.0,,False
16,Bala Frumelo -Lacta®,422.2,82.22,8.89,6.67,,False
16,Bala Mentex de hortelã -Nestlé®,382.6,95.65,,,,False
16,Bala recheada -Lacta®,375.0,95.83,,,,False
16,Banana,92.0,23.4,0.48,1.04,2.03,False
16,"Banana ""split"" (banana, sorvetes,",264.04,34.82,13.83,3.87,1.18,False
17,Bonuno ilmiluncsu,184.95,23.86,,1.21,1.7,False
17,Banana caramelada,1228.77,58.87,0.26,0.55,1.08,True
17,Banana frita,225.53,19.4,17.28,0.86,,False
17,Banha de porco,902.0,0.0,99.93,0.0,0.0,True
17,Barreado,280.5,2.89,12.63,37.06,0.47,False
17,"Batata ""sauté"" I",14.55,18.85,3.87,,,False
17,"I ,65 I ,23",0.47,0.76,0.0,,,False
17,"Batata assada com ""crearn cheese"" c",232.53,15.55,18.05,2.73,1.05,False
17,Batata chips,126.68,16.9,6.04,1.95,1.5,False
17,Batata cozida,87.0,20.0,,,,False
17,"I ,88 I ,80",0.4,1.4,0.0,2.08,1.6,False
17,Batata doce cozida sem sal I,5.0,24.3,0.3,1.66,2.3,False
17,Batata frita -Fritcx®,518.7,,,6.5,,False
17,Batata frita- Me Donald's®,329.8,37.6,17.6,4.6,,False
17,Batata frita (palito),139.01,18.61,6.77,1.6,1.21,False
17,Batata frita Crocantcx -Fritex®,518.8,,,6.5,,False
18,Batata frita Natural -Pringles®,607.1,57.14,41.07,5.36,3.57,False
18,Batata frita original crisps l/3 less fat,500.0,67.86,25.0,7.14,3.57,False
18,Batata frita sabor cebola -Pringles®,571.4,53.57,35.71,7.14,3.57,False
18,Batata frita sabor queijo -Pringles®,535.7,50.0,35.71,7.14,3.57,False
18,Batata palha,181.38,17.56,12.06,,,False
18,"I ,51",1.14,0.44,0.7,,,False
18,"Bebida láctea batida com mel, cálcio,",36.0,5.1,,3.4,,False
18,Bebida láctea chocolate Cholat,102.0,,,,,False
18,Bebida láctea com polpa de fruta I,3.3,17.3,2.32,3.3,,False
18,Bebida láctea maçã banana -Pauli,106.9,17.72,2.6,2.08,,False
18,Bebida láctea maçã e banana Ninho I,6.0,18.5,2.3,2.8,,False
18,Bebida láctea morango -Chamy,84.0,16.1,1.2,2.1,,False
18,Bebida láctea morango surpresa,107.6,17.93,2.69,2.9,,False
18,Hecel® com sal (creme vegetal),360.0,0.0,40.0,0.0,,False
18,Becel® Mesa & Cozinha,630.0,,70.0,0.0,,False
19,llcccl® 1•r·6-uctiv,360.0,0.0,40.0,0.0,,False
19,Becel® sem sal (creme vegetal),360.0,,40.0,0.0,,False
19,Beijinho,420.0,44.99,25.22,7.4,4.29,False
19,Beijinho -Moça Fiesta Nestlé®,349.0,53.5,12.5,5.6,,False
19,Berinjela (cozida),28.0,6.65,0.23,0.83,2.5,False
19,Berinjela (crua),26.0,6.08,0.18,1.03,2.5,False
19,Jlctcrraba (cozida),44.0,9.97,0.18,,,False
19,"I ,69",1.7,0.6,1.2,,,False
19,Beterraba (crua),43.0,9.57,0.17,,,False
19,"I ,62",2.8,0.8,2.0,,,False
19,"Bife ""rolê"" -Swif't l>remium®",92.0,,3.7,,,False
19,Bife à milanesa de coxão mole,345.14,,0.98,17.52,0.08,False
19,"Bife frito de contra filé 297, 12 O, I 8",20.46,2.32,8.57,26.32,0.01,False
19,IJifc grelhado de contra filé,195.0,,7.21,30.4,0.0,False
19,Big Mac- Me Donald's®,260.4,19.77,15.07,,,False
19,"Biscoito ""wafer"" capuccino-São Luíz",514.0,61.0,,6.9,2.4,False
20,"Biscoito ""wafer"" chocolate -Lanche",496.0,71.0,0.6,5.4,0.4,False
20,"Biscoito ""wafer"" chocolate-São Luíz",508.0,68.2,23.9,5.0,,False
20,"Biscoito ""wafer"" chocolate-Tostines",527.0,64.3,27.2,6.3,,False
20,"Biscoito ""wafer"" chocolate com avelã-",500.0,64.3,23.9,6.8,2.6,False
20,"Biscoito ""wafer"" doce de leite-São",511.0,66.5,25.0,5.1,,False
20,"Biscoito ""wafer"" leite condensado com",514.0,60.2,26.4,8.9,,False
20,"Biscoito ""wafer"" leite condensado e",532.0,63.4,28.0,6.5,,False
20,"Biscoito ""wafer"" leite condensado e",526.0,66.2,27.0,4.5,,False
20,"Biscoito ""wafer"" limão -Lanche 494.oo",73.0,20.4,15.4,4.6,0.2,False
20,"Biscoito ""wafer"" maracujá-São Luíz",549.0,61.0,31.9,4.4,,False
20,"Biscoito ""wafer"" morango -Lanche",500.0,72.0,20.0,4.0,,False
20,"Biscoito ""wafer"" morango-São Luíz 5",12.0,68.82,24.4,4.3,,False
20,"Biscoito ""wafer"" morango-Tostines",539.0,63.8,29.3,4.9,,False
20,"Biscoito ""wafer"" sabor coco-Lanche",496.0,72.2,20.8,,,False
20,I,5.0,0.2,,10.2,,False
21,IJiscollo Á~llll-Grnn'Oin l)nnonc®,420.0,70.0,10.0,12.0,3.0,False
21,Biscoito Água e sal -São Luiz Nestlé®,466.0,68.3,17.2,9.4,,False
21,Biscoito Amandita -Lacta®,537.5,63.75,28.75,62.5,,False
21,Biscoito aveia e mel -São Luíz Nestlé®,484.0,69.3,19.7,7.4,,False
21,Biscoito Bono Cappuccino -São Luíz,492.0,69.4,21.3,5.8,,False
21,Biscoito Bono chocolate -São Luíz,485.0,69.8,20.2,6.0,,False
21,Biscoito Bono chocolate com avelã,484.0,67.0,21.3,6.1,2.1,False
21,Biscoito Bono doce de leite -São Luíz,487.0,69.2,20.3,7.0,,False
21,Biscoito Bono morango -São Luíz,486.0,71.5,19.8,5.5,,False
21,Biscoito Calipso branco -Tostines,458.0,58.2,22.8,5.0,,False
21,Biscoito Calipso chocolate -Tostincs,489.0,64.5,22.5,7.2,,False
21,Biscoito Carícia-Tostines Nestlé®,469.0,69.6,17.8,7.6,,False
21,Biscoito champanhe -Bauducco,387.0,81.0,0.3,7.0,,False
21,Biscoito coco -São Luíz Nestlé®,466.0,72.8,16.3,7.1,,False
21,Biscoito cookies Savoy coco-São Luíz,519.0,65.8,26.2,4.9,,False
22,Biscoito cookies Savoy gotas de,495.0,68.4,22.2,5.4,,False
22,Hiscoito cream crakcr -São Luíz,473.0,67.3,18.5,9.3,,False
22,"Hiscoilo de arroz sabor banam1 -Uncle 359, I O",82.95,,,6.82,,False
22,Hiscoito de aveia,376.12,61.59,,7.93,3.35,False
22,"Biscoito de fécula de batata 451. 89 62, 12",20.86,6.56,9.33,5.31,2.76,False
22,Biscoito de milho verde -São Luíz,453.0,69.9,15.8,7.9,2.7,False
22,Biscoito de polvilho,292.88,52.32,9.04,2.8,0.4,False
22,Biscoito doce Tostitas -Tostines,429.0,76.8,10.2,7.5,,False
22,Biscoito Fofines beijinho -Tostines,505.0,68.0,23.7,4.9,,False
22,N Bi e s s c t o lé it ® o Fofines brigadeiro -Tostines,492.0,68.0,22.3,4.9,,False
22,Biscoito Folines cajuzinho-Tostines,497.0,66.3,22.9,6.4,,False
22,"Biscoito Grill batata -São Luíz Nestlé® 50 I ,00",59.8,24.6,,10.2,,False
22,Hiscoito Grill calabresa-São Luíz,455.0,59.2,20.0,9.4,,False
22,"Hiscoito Grill gergelim-São Luíz 50 I ,00",56.4,24.5,,13.7,,False
22,Hiscoito Grill queijo provolone -São,500.0,56.2,24.3,14.1,,False
23,Biscoito leite -São Luíz Nestlé®,474.0,68.9,18.5,8.0,,False
23,Biscoito leite -Tostines Nestlé®,460.0,72.2,15.9,7.0,,False
23,Biscoito leite Divertido -São Luíz,464.0,70.9,16.2,8.7,,False
23,Biscoito leite Passatempo -São Luíz,464.0,70.9,16.2,8.7,,False
23,Biscoito maçã e canela -São Luíz,455.0,71.0,15.8,7.2,,False
23,Biscoito maizena -São Luíz Nestlé®,444.0,75.7,12.3,7.7,,False
23,Biscoito maizena -Tostines Nestlé®,456.0,72.8,15.0,7.3,,False
23,Biscoito Maria -São Luíz Nestlé®,444.0,75.9,12.0,8.2,,False
23,Biscoito Maria -Tostines Nestlé®,449.0,73.2,14.1,7.4,,False
23,Biscoito Passatempo recheado,490.0,68.6,20.9,7.0,,False
23,Biscoito recheado chocolate -Tostines,493.0,66.5,22.6,5.9,,False
23,"Uiscoito recheado doce de leite com 481 ,00 68, I O",22.2,,,6.6,,False
23,Biscoito recheado leite condensado com,494.0,69.0,21.0,5.6,,False
23,Biscoito recheado morango -Tostines,503.0,67.7,23.4,5.5,,False
24,Biscoito recheado Negresco -São Luíz,486.0,71.9,19.6,5.4,,False
24,Biscoito recheado Negresco coberto,485.0,61.9,,7.4,2.9,False
24,Biscoito recheado Prestígio -São Luíz 4,70.0,66.1,,6.1,,False
24,Biscoito Ritz crackers reduced fat,466.7,73.33,13.33,6.67,,False
24,Biscoito Salclic aperitivo -São Luíz,478.0,59.7,22.8,8.4,,False
24,Biscoito suíço avelã -São Luíz Nestlé®,540.0,53.0,32.0,10.0,,False
24,Biscoito suíço coberto com chocolate,515.0,62.0,27.0,6.0,,False
24,Biscoito suíço creme de avelã -São,559.0,52.0,35.0,9.0,,False
24,Biscoito Surpresa fun -Tostines,465.0,69.5,17.1,8.3,,False
24,Biscoito tipo rosquinha chocolate,479.0,66.22,20.6,7.3,,False
24,"Biscoito tipo rosquinha coco -Tostines 491 ,00",66.1,,22.0,7.1,,False
24,Biscoito tipo rosquinha leite -Tostines,482.0,68.3,20.0,7.1,,False
24,Biscoito Tostei aperitivo -Tostines,439.0,68.0,13.9,10.4,,False
24,Biscoito Tostei tradicional-Tostines,443.0,64.4,15.5,11.4,,False
24,Biscoito tradicional-São Luíz Nestlé®,493.0,62.0,,7.2,,False
25,"IIINcc,llo 'l'rii(~Y -Nuhlsco 4.12,00",64.0,16.0,,12.0,0.7,False
25,Bisnaguinha -Panco®,316.0,58.6,5.06,9.04,2.64,False
25,Bisnaguinha light -Panco®,218.2,45.07,0.28,8.84,8.16,False
25,Bisteca de porco assada,131.77,1.33,5.14,18.91,0.18,False
25,Blanquet de peru -Califórnia Sadia®,127.7,,4.89,19.43,,False
25,Bolinha de queijo,273.23,32.96,12.04,7.79,1.43,False
25,Bolinho de arroz,355.53,49.54,13.34,8.01,1.32,False
25,Bolinho de chuva,270.03,42.39,8.31,6.11,1.39,False
25,Bolinrosa-Moça Fiesta Nestlé®,323.0,54.8,8.3,7.3,,False
25,Bolo branco simples,317.82,55.21,8.36,5.94,1.39,False
25,Bolo de abacaxi -Pullman®,372.0,61.7,11.1,6.35,,False
25,Bolo de abacaxi -Sadia®*,281.4,29.6,15.17,6.58,,False
