page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
40,Couve (cozida),32.0,5.64,0.4,1.91,2.0,False,"Couve-flor, cozida",0.667
40,Couve (crua),50.0,10.0,0.7,3.31,3.0,False,"Couve, manteiga, crua",0.667
41,Coxa de frango inteira (assada),234.69,0.71,14.55,23.64,0.16,False,"Frango, coxa, com pele, assada",0.6
41,Coxa de frango sem pele (assada),199.05,0.71,10.24,24.39,0.16,False,"Frango, coxa, com pele, assada",1.0
41,Coxa de frango sem pele (crua),119.0,0.0,3.92,19.7,0.0,False,"Frango, coxa, com pele, crua",1.0
41,Coxa de peru sem pele (crua),114.0,0.0,3.61,20.5,,False,"Frango, coxa, com pele, crua",0.6
41,Coxinha de frango,374.44,42.02,18.62,9.1,1.88,False,"Coxinha de frango, frita",0.667
42,Creme de leite-Glória®,251.0,4.0,,2.5,,False,Creme de Leite,0.667
42,Creme de leite -Nestlé®,249.0,3.6,25.0,2.4,,False,Creme de Leite,0.667
42,Creme de leite -Parmalat®,255.0,4.8,25.0,2.8,,False,Creme de Leite,0.667
42,Creme de leite fresco,292.0,2.97,30.9,2.18,0.0,False,Creme de Leite,0.667
44,Cuscuz paulista,184.68,23.0,13.0,5.18,4.27,False,"Cuscuz, paulista",1.0
44,Dobradinha,43.5,1.63,2.53,3.71,0.34,False,Dobradinha,1.0
45,Doce de leite pronto cremoso -Moça,309.0,57.6,5.9,,,False,"Doce, de leite, cremoso",0.6
47,Farinha de arroz -Mococa®,379.0,86.7,0.6,6.7,,False,Farinha de arroz,0.667
47,Farinha de arroz tradicional,360.0,88.0,0.1,,,False,Farinha de arroz,0.667
48,Farinha de centeio,324.0,68.7,2.7,0.14,22.6,False,"Farinha, de centeio, integral",0.667
48,Farinha de mandioca (crua),354.0,86.4,0.3,1.7,1.8,False,"Farinha, de mandioca, crua",1.0
48,Farinha de mandioca torrada,354.0,86.4,0.3,1.7,1.8,False,"Farinha, de mandioca, torrada",1.0
48,Farinha de milho,361.0,77.9,3.87,6.94,13.4,False,"Farinha, de milho, amarela",0.667
48,Farinha de rosca,395.0,72.5,5.15,12.5,4.2,False,"Farinha, de rosca",1.0
48,Farinha de soja,433.0,31.9,20.7,37.8,1.98,False,"Soja, farinha",1.0
48,Farinha de trigo comum,371.0,77.7,1.3,9.4,3.6,False,"Farinha, de trigo",0.667
48,Farinha de trigo integral,339.0,72.6,,13.7,11.55,False,"Farinha, de trigo",0.667
49,Feijão (cru),337.0,61.3,1.07,22.5,19.1,False,"Feijão, broto, cru",0.667
49,Feijão tropeiro,330.65,49.24,9.09,14.43,12.68,False,Feijão tropeiro mineiro,0.667
49,Feijoada,172.31,6.67,12.55,8.32,2.07,False,Feijoada,1.0
50,Fermento químico cm pó,163.0,37.8,,5.2,0.0,False,"Fermento em pó, químico",0.75
50,Fígado de frango (cru),135.0,0.6,6.3,19.1,0.0,False,"Frango, fígado, cru",1.0
50,Filé de frango à milanesa,233.06,,0.87,23.97,0.09,False,"Frango, filé, à milanesa",1.0
52,Frango inteiro assado,227.21,0.5,12.8,25.8,0.08,False,"Frango, inteiro, sem pele, assado",0.75
53,Geléia de mocotó,147.0,35.0,,3.0,,False,"Geléia, mocotó, natural",0.667
53,Gema de ovo de galinha,358.0,,0.79,16.8,0.0,False,"Ovo, de galinha, gema, cozida/10minutos",0.6
53,Gergelim semente seca,573.0,23.5,49.7,17.7,9.1,False,"Gergelim, semente",0.667
54,Grão de bico (cru),364.0,60.7,6.05,19.3,12.0,False,"Grão-de-bico, cru",1.0
55,Hambúrguer grelhado,174.87,5.71,8.47,17.67,0.37,False,"Hambúrguer, bovino, grelhado",0.667
56,Iogurte desnatado natural-PADRÃO,63.3,7.05,1.43,5.26,0.0,False,"Iogurte, natural, desnatado",0.75
57,Iogurte integral natural-PADRÃO,61.4,4.67,3.26,3.48,0.0,False,Iogurte natural integral,0.75
57,Iogurte natural -Batavo®,59.2,4.0,3.13,3.76,,False,"Iogurte, natural",0.667
57,Iogurte natural -Danone®,69.0,6.3,2.8,4.7,,False,"Iogurte, natural",0.667
57,Iogurte natural -Nestlé®,77.0,5.8,4.2,4.0,,False,"Iogurte, natural",0.667
57,Iogurte natural -Parmalat®,61.7,5.1,2.8,4.03,,False,"Iogurte, natural",0.667
57,Iogurte natural -Paulista®,25.0,,0.64,3.2,,False,"Iogurte, natural",0.667
57,Iogurte natural desnatado -Batavo®,41.8,4.21,0.98,4.0,,False,"Iogurte, natural, desnatado",0.75
57,Iogurte natural desnatado -Danone®,57.0,7.4,0.9,5.15,,False,"Iogurte, natural, desnatado",0.75
58,Iogurte natural desnatado -Nestlé®,42.7,6.0,0.27,4.12,,False,"Iogurte, natural, desnatado",0.75
58,Iogurte natural desnatado-Paulista®,21.0,1.7,,3.2,,False,"Iogurte, natural, desnatado",0.75
61,Lagarto (carne bovina crua),175.18,0.0,5.72,29.03,0.0,False,"Carne, bovina, costela, crua",0.6
62,Leite condensado-Glória®,328.0,55.5,8.5,7.4,,False,"Leite, condensado",0.667
62,Leite condensado enriquecido com,324.0,54.9,8.2,,,False,"Leite, condensado",0.667
62,Leite em pó integral -Ninho,499.0,45.3,26.0,,,False,"Leite, de vaca, integral, pó",0.6
63,Leite em pó integral de cabra com,530.8,3.0,,,,False,"Leite, de vaca, integral, pó",0.6
63,Leite em pó integral enriquecido,490.0,37.7,26.0,,,False,"Leite, de vaca, integral, pó",0.6
63,Leite em pó integral enriquecido,494.0,38.0,26.0,,,False,"Leite, de vaca, integral, pó",0.6
63,Leite em pó integral enriquecido com,615.0,38.0,26.0,,,False,"Leite, de vaca, integral, pó",0.6
63,Leite em pó integral instantâneo,496.0,38.6,26.0,,,False,"Leite, de vaca, integral, pó",0.6
64,Leite integral em pó-PADRÃO,496.0,38.4,26.7,26.3,0.0,False,"Leite, de vaca, integral, pó",0.6
66,Lentilha cozida (grãos),116.0,20.1,0.38,9.03,4.55,False,"Lentilha, cozida",0.667
66,Limão (suco),25.0,8.64,0.13,0.38,0.4,False,"Limão, cravo, suco",0.667
67,Língua bovina crua e salgada,220.0,0.0,17.5,15.7,0.0,False,"Carne, bovina, língua, crua",0.6
67,Lingüiça de porco frita,383.64,1.01,33.14,19.17,0.0,False,"Lingüiça, porco, frita",1.0
67,Lombo de porco assado,181.3,1.67,11.91,16.14,0.19,False,"Porco, lombo, assado",1.0
68,Macarrão (cozido),141.0,28.3,0.67,4.78,1.5,False,Macarrão cozido,1.0
68,Macarrão (cru),369.0,75.2,1.2,12.5,,False,"Macarrão, trigo, cru",0.667
69,Macarrão massa com ovos cru,1.0,362.0,72.5,,,False,"Macarrão, trigo, cru, com ovos",0.6
70,Mamão formosa,32.0,8.3,0.1,0.5,0.6,False,"Mamão, Formosa, cru",0.667
70,Mamão papaia,39.0,9.82,0.14,0.61,1.8,False,"Mamão, Papaia, cru",0.667
71,Manjuba frita,177.5,0.0,12.2,18.5,,False,"Manjuba, frita",1.0
71,Manteiga com sal,717.0,0.1,81.1,0.9,0.0,False,"Manteiga, com sal",1.0
71,Manteiga sem sal,717.0,0.06,81.1,0.85,0.0,False,"Manteiga, com sal",1.0
71,Maria mole-Nutrimental®*,375.0,65.0,11.0,3.5,,False,Maria mole,0.667
71,Marmelada,249.0,64.1,0.1,0.5,0.9,False,Marmelada,1.0
72,Massa fresca para lasanha,284.0,61.0,0.9,,,False,"Lasanha, massa fresca, cozida",0.6
73,Milho verde,129.0,27.8,0.8,3.3,1.5,False,"Curau, milho verde",0.667
75,Molho de tomate,39.47,5.27,2.08,0.93,1.16,False,"Tomate, molho industrializado",0.667
76,Mortadela,312.0,0.8,29.43,12.2,0.0,False,Mortadela,1.0
76,Mostarda folha (crua),26.0,4.91,0.2,2.71,2.0,False,"Mostarda, folha, crua",1.0
77,Nabo (cru),27.0,6.24,0.1,0.9,2.45,False,"Nabo, cru",1.0
79,Óleo de canola -Purilev®,720.0,,100.0,,,False,"Óleo, de canola",0.667
79,Óleo de girassol,884.0,0.0,,0.0,0.0,False,"Óleo, de girassol",1.0
