taco_id,original,display
462,"Queijo, minas, meia cura",Queijo minas meia cura
463,"Queijo, mozarela",Queijo mozarela
464,"Queijo, parmesão",Queijo parmesão
465,"Queijo, pasteurizado",Queijo pasteurizado
466,"Queijo, petit suisse, morango",Queijo petit suisse morango
467,"Queijo, prato",Queijo prato
468,"Queijo, requeijão, cremoso",Queijo requeijão cremoso
469,"Queijo, ricota",Queijo ricota
470,"Bebida isotônica, sabores variados",Bebida isotônica sabores variados
471,"Café, infusão 10%",Café infusão 10%
472,"Cana, aguardente 1",Cana aguardente 1
473,"Cana, caldo de",Cana caldo de
474,"Cerveja, pilsen 2",Cerveja pilsen 2
475,"Chá, erva-doce, infusão 5%",Chá erva-doce infusão 5%
476,"Chá, mate, infusão 5%",Chá mate infusão 5%
477,"Chá, preto, infusão 5%",Chá preto infusão 5%
478,"Coco, água de",Coco água de
479,"Refrigerante, tipo água tônica",Refrigerante tipo água tônica
480,"Refrigerante, tipo cola",Refrigerante tipo cola
481,"Refrigerante, tipo guaraná",Refrigerante tipo guaraná
482,"Refrigerante, tipo laranja",Refrigerante tipo laranja
483,"Refrigerante, tipo limão",Refrigerante tipo limão
484,"Omelete, de queijo",Omelete de queijo
485,"Ovo, de codorna, inteiro, cru",Ovo de codorna inteiro cru
486,"Ovo, de galinha, clara, cozida/10minutos",Ovo clara cozida
487,"Ovo, de galinha, gema, cozida/10minutos",Ovo gema cozida
488,"Ovo, de galinha, inteiro, cozido/10minutos",Ovo inteiro cozido
489,"Ovo, de galinha, inteiro, cru",Ovo inteiro cru
490,"Ovo, de galinha, inteiro, frito",Ovo inteiro frito
491,"Achocolatado, pó",Achocolatado pó
492,"Açúcar, cristal",Açúcar cristal
493,"Açúcar, mascavo",Açúcar mascavo
494,"Açúcar, refinado",Açúcar refinado
495,"Chocolate, ao leite",Chocolate ao leite
496,"Chocolate, ao leite, com castanha do Pará",Chocolate ao leite com castanha do Pará
497,"Chocolate, ao leite, dietético",Chocolate ao leite dietético
498,"Chocolate, meio amargo",Chocolate meio amargo
499,Cocada branca,Cocada branca
500,"Doce, de abóbora, cremoso",Doce de abóbora cremoso
501,"Doce, de leite, cremoso",Doce de leite cremoso
502,"Geléia, mocotó, natural",Geléia mocotó natural
503,Glicose de milho,Glicose de milho
504,Maria mole,Maria mole
505,"Maria mole, coco queimado",Maria mole coco queimado
506,Marmelada,Marmelada
507,"Mel, de abelha",Mel de abelha
508,Melado,Melado
509,Quindim,Quindim
510,Rapadura,Rapadura
511,"Café, pó, torrado",Café pó torrado
512,"Capuccino, pó",Capuccino pó
513,"Fermento em pó, químico",Fermento em pó químico
514,"Fermento, biológico, levedura, tablete",Fermento biológico levedura tablete
515,"Gelatina, sabores variados, pó",Gelatina sabores variados pó
516,"Sal, dietético",Sal dietético
517,"Sal, grosso",Sal grosso
518,Shoyu,Shoyu
519,Tempero a base de sal,Tempero a base de sal
520,"Azeitona, preta, conserva",Azeitona preta conserva
521,"Azeitona, verde, conserva",Azeitona verde conserva
522,"Chantilly, spray, com gordura vegetal",Chantilly spray com gordura vegetal
523,"Leite, de coco",Leite de coco
524,"Maionese, tradicional com ovos",Maionese tradicional com ovos
525,Acarajé,Acarajé
526,Arroz carreteiro,Arroz carreteiro
527,"Baião de dois, arroz e feijão-de-corda",Baião de dois arroz e feijão-de-corda
528,Barreado,Barreado
529,"Bife à cavalo, com contra filé",Bife à cavalo com contra filé
530,Bolinho de arroz,Bolinho de arroz
531,Camarão à baiana,Camarão à baiana
532,"Charuto, de repolho",Charuto de repolho
533,"Cuscuz, de milho, cozido com sal",Cuscuz de milho cozido com sal
