taco_id,original,display
279,"Bacalhau, salgado, cru",Bacalhau salgado cru
280,"Bacalhau, salgado, refogado",Bacalhau salgado refogado
281,"Cação, posta, com farinha de trigo, frita",Cação posta com farinha de trigo frita
282,"Cação, posta, cozida",Cação posta cozida
283,"Cação, posta, crua",Cação posta crua
284,"Camarão, Rio Grande, grande, cozido",Camarão rio grande grande cozido
285,"Camarão, Rio Grande, grande, cru",Camarão rio grande grande cru
286,"Camarão, Sete Barbas, sem cabeça, com casca, frito",Camarão sete barbas sem cabeça com casca frito
287,"Caranguejo, cozido",Caranguejo cozido
288,"Corimba, cru",Corimba cru
289,"Corimbatá, assado",Corimbatá assado
290,"Corimbatá, cozido",Corimbatá cozido
291,"Corvina de água doce, crua",Corvina de água doce crua
292,"Corvina do mar, crua",Corvina do mar crua
293,"Corvina grande, assada",Corvina grande assada
294,"Corvina grande, cozida",Corvina grande cozida
295,"Dourada de água doce, fresca",Dourada de água doce fresca
296,"Lambari, congelado, cru",Lambari congelado cru
297,"Lambari, congelado, frito",Lambari congelado frito
298,"Lambari, fresco, cru",Lambari fresco cru
299,"Manjuba, com farinha de trigo, frita",Manjuba com farinha de trigo frita
300,"Manjuba, frita",Manjuba frita
301,"Merluza, filé, assado",Merluza filé assado
302,"Merluza, filé, cru",Merluza filé cru
303,"Merluza, filé, frito",Merluza filé frito
304,"Pescada, branca, crua",Pescada branca crua
305,"Pescada, branca, frita",Pescada branca frita
306,"Pescada, filé, com farinha de trigo, frito",Pescada filé com farinha de trigo frito
307,"Pescada, filé, cru",Pescada filé cru
308,"Pescada, filé, frito",Pescada filé frito
309,"Pescada, filé, molho escabeche",Pescada filé molho escabeche
310,"Pescadinha, crua",Pescadinha crua
311,"Pintado, assado",Pintado assado
312,"Pintado, cru",Pintado cru
313,"Pintado, grelhado",Pintado grelhado
314,"Porquinho, cru",Porquinho cru
315,"Salmão, filé, com pele, fresco,  grelhado",Salmão filé com pele fresco grelhado
316,"Salmão, sem pele, fresco, cru",Salmão sem pele fresco cru
317,"Salmão, sem pele, fresco, grelhado",Salmão sem pele fresco grelhado
318,"Sardinha, assada",Sardinha assada
319,"Sardinha, conserva em óleo",Sardinha conserva em óleo
320,"Sardinha, frita",Sardinha frita
321,"Sardinha, inteira, crua",Sardinha inteira crua
322,"Tucunaré, filé, congelado, cru",Tucunaré filé congelado cru
323,Apresuntado,Apresuntado
324,"Caldo de carne, tablete",Caldo de carne tablete
325,"Caldo de galinha, tablete",Caldo de galinha tablete
326,"Carne, bovina, acém, moído, cozido",Carne bovina acém moído cozido
327,"Carne, bovina, acém, moído, cru",Carne bovina acém moído cru
328,"Carne, bovina, acém, sem gordura, cozido",Carne bovina acém sem gordura cozido
329,"Carne, bovina, acém, sem gordura, cru",Carne bovina acém sem gordura cru
330,"Carne, bovina, almôndegas, cruas",Carne bovina almôndegas cruas
331,"Carne, bovina, almôndegas, fritas",Carne bovina almôndegas fritas
332,"Carne, bovina, bucho, cozido",Carne bovina bucho cozido
333,"Carne, bovina, bucho, cru",Carne bovina bucho cru
334,"Carne, bovina, capa de contra-filé, com gordura, crua",Carne bovina capa de contra-filé com gordura crua
335,"Carne, bovina, capa de contra-filé, com gordura, grelhada",Carne bovina capa de contra-filé com gordura grelhada
336,"Carne, bovina, capa de contra-filé, sem gordura, crua",Carne bovina capa de contra-filé sem gordura crua
337,"Carne, bovina, capa de contra-filé, sem gordura, grelhada",Carne bovina capa de contra-filé sem gordura grelhada
338,"Carne, bovina, charque, cozido",Carne bovina charque cozido
339,"Carne, bovina, charque, cru",Carne bovina charque cru
340,"Carne, bovina, contra-filé, à milanesa",Carne bovina contra-filé à milanesa
341,"Carne, bovina, contra-filé de costela, cru",Carne bovina contra-filé de costela cru
342,"Carne, bovina, contra-filé de costela, grelhado",Carne bovina contra-filé de costela grelhado
343,"Carne, bovina, contra-filé, com gordura, cru",Carne bovina contra-filé com gordura cru
344,"Carne, bovina, contra-filé, com gordura, grelhado",Carne bovina contra-filé com gordura grelhado
345,"Carne, bovina, contra-filé, sem gordura, cru",Carne bovina contra-filé sem gordura cru
346,"Carne, bovina, contra-filé, sem gordura, grelhado",Carne bovina contra-filé sem gordura grelhado
347,"Carne, bovina, costela, assada",Carne bovina costela assada
348,"Carne, bovina, costela, crua",Carne bovina costela crua
349,"Carne, bovina, coxão duro, sem gordura, cozido",Carne bovina coxão duro sem gordura cozido
350,"Carne, bovina, coxão duro, sem gordura, cru",Carne bovina coxão duro sem gordura cru
351,"Carne, bovina, coxão mole, sem gordura, cozido",Carne bovina coxão mole sem gordura cozido
352,"Carne, bovina, coxão mole, sem gordura, cru",Carne bovina coxão mole sem gordura cru
353,"Carne, bovina, cupim, assado",Carne bovina cupim assado
354,"Carne, bovina, cupim, cru",Carne bovina cupim cru
355,"Carne, bovina, fígado, cru",Carne bovina fígado cru
356,"Carne, bovina, fígado, grelhado",Carne bovina fígado grelhado
357,"Carne, bovina, filé mingnon, sem gordura, cru",Carne bovina filé mingnon sem gordura cru
358,"Carne, bovina, filé mingnon, sem gordura, grelhado",Carne bovina filé mingnon sem gordura grelhado
