page,name,kcal,carbs_g,fat_g,protein_g,fiber_g,suspect,taco_match,taco_similarity
19,Becel® sem sal (creme vegetal),360.0,,40.0,0.0,,False,"Manteiga, com sal",0.2
19,Beijinho,420.0,44.99,25.22,7.4,4.29,False,,0.0
19,Beijinho -Moça Fiesta Nestlé®,349.0,53.5,12.5,5.6,,False,,0.0
19,Jlctcrraba (cozida),44.0,9.97,0.18,0.69,1.7,False,"Berinjela, cozida",0.333
19,"Bife ""rolê"" -Swif't l>remium®",92.0,,3.7,13.0,,False,"Bife à cavalo, com contra filé",0.111
19,Bife à milanesa de coxão mole,345.14,,0.98,17.52,0.08,False,"Carne, bovina, coxão mole, sem gordura, cozido",0.25
19,"Bife frito de contra filé 297, 12 O, I 8",20.46,2.32,8.57,26.32,0.01,False,"Bife à cavalo, com contra filé",0.333
19,Big Mac- Me Donald's®,260.4,19.77,15.07,0.72,,False,,0.0
19,"Biscoito ""wafer"" capuccino-São Luíz",514.0,61.0,,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.25
20,"Biscoito ""wafer"" limão -Lanche 494.oo",73.0,20.4,15.4,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.222
20,"Biscoito ""wafer"" maracujá-São Luíz",549.0,61.0,31.9,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.25
20,"Biscoito ""wafer"" sabor coco-Lanche",496.0,72.2,20.8,,,False,"Biscoito, doce, wafer, recheado de chocolate",0.25
20,I,5.0,0.2,,,,False,,0.0
21,IJiscollo Á~llll-Grnn'Oin l)nnonc®,420.0,70.0,10.0,12.0,3.0,False,,0.0
21,Biscoito Água e sal -São Luiz Nestlé®,466.0,68.3,17.2,9.4,,False,"Manteiga, com sal",0.143
21,Biscoito Amandita -Lacta®,537.5,63.75,28.75,62.5,,False,Biscoito de polvilho,0.25
21,Biscoito aveia e mel -São Luíz Nestlé®,484.0,69.3,19.7,7.4,,False,"Mel, de abelha",0.143
21,Biscoito Bono Cappuccino -São Luíz,492.0,69.4,21.3,,,False,Biscoito de polvilho,0.167
21,Biscoito Bono chocolate -São Luíz,485.0,69.8,20.2,,,False,"Biscoito, doce, recheado com chocolate",0.286
21,Biscoito Bono chocolate com avelã,484.0,67.0,21.3,,,False,"Biscoito, doce, recheado com chocolate",0.333
21,Biscoito Bono doce de leite -São Luíz,487.0,69.2,20.3,,,False,"Biscoito, doce, maisena",0.286
21,Biscoito Bono morango -São Luíz,486.0,71.5,19.8,,,False,"Biscoito, doce, recheado com morango",0.286
21,Biscoito Calipso branco -Tostines,458.0,58.2,22.8,,,False,Biscoito de polvilho,0.2
21,Biscoito Calipso chocolate -Tostincs,489.0,64.5,22.5,,,False,"Biscoito, doce, recheado com chocolate",0.333
21,Biscoito Carícia-Tostines Nestlé®,469.0,69.6,17.8,7.6,,False,Biscoito de polvilho,0.2
21,Biscoito champanhe -Bauducco,387.0,81.0,0.3,,,False,Biscoito de polvilho,0.25
21,Biscoito coco -São Luíz Nestlé®,466.0,72.8,16.3,7.1,,False,"Coco, água de",0.167
21,Biscoito cookies Savoy coco-São Luíz,519.0,65.8,26.2,,,False,"Coco, água de",0.143
22,Biscoito cookies Savoy gotas de,495.0,68.4,22.2,,,False,Biscoito de polvilho,0.2
22,Hiscoito cream crakcr -São Luíz,473.0,67.3,18.5,,,False,"Biscoito, salgado, cream cracker",0.125
22,"Hiscoilo de arroz sabor banam1 -Uncle 359, I O",82.95,,,,,False,Arroz carreteiro,0.125
22,Hiscoito de aveia,376.12,61.59,,7.93,3.35,False,Leite de aveia,0.333
22,"Biscoito de fécula de batata 451. 89 62, 12",20.86,6.56,9.33,5.31,2.76,False,"Fécula, de mandioca",0.125
22,Biscoito de milho verde -São Luíz,453.0,69.9,15.8,,,False,"Curau, milho verde",0.333
22,Biscoito Fofines beijinho -Tostines,505.0,68.0,23.7,,,False,Biscoito de polvilho,0.2
22,N Bi e s s c t o lé it ® o Fofines brigadeiro -Tostines,492.0,68.0,22.3,4.9,,False,,0.0
22,Biscoito Folines cajuzinho-Tostines,497.0,66.3,22.9,,,False,Biscoito de polvilho,0.2
22,"Biscoito Grill batata -São Luíz Nestlé® 50 I ,00",59.8,24.6,,10.2,,False,Biscoito de polvilho,0.1
22,Hiscoito Grill calabresa-São Luíz,455.0,59.2,20.0,,,False,,0.0
22,"Hiscoito Grill gergelim-São Luíz 50 I ,00",56.4,24.5,,,,False,"Gergelim, semente",0.111
22,Hiscoito Grill queijo provolone -São,500.0,56.2,24.3,,,False,"Queijo, mozarela",0.167
23,Biscoito leite -São Luíz Nestlé®,474.0,68.9,18.5,8.0,,False,Creme de Leite,0.167
23,Biscoito leite -Tostines Nestlé®,460.0,72.2,15.9,7.0,,False,Creme de Leite,0.2
